"","Original.address","Latitutde","Longitude"
"419","1220 E. 54th St.",41.7981411,-87.5958385
"420","1220 E. 61st St.",41.7841448,-87.5956444
"421","1221 E. 52nd St.",41.800678,-87.59575
"422","1221 E. 54th St. ",41.7978005,-87.595729
"423","1224 E. Midway Pl.",41.7864747,-87.5989062
"424","1225 E. 52nd St.",41.8007305,-87.5958394
"425","1232 E. 63rd St.",41.7807533,-87.5948818
"426","1250 E. Midway Pl.",41.7864747,-87.5989062
"427","1300 E. 47th St. ",41.8101061,-87.5953749
"428","1300 E. 53rd St. ",41.799796,-87.594741
"429","1300 E. Midway Pl.",41.7864747,-87.5989062
"430","1307 E. 55th St. ",41.794871,-87.594488
"431","1313 E. 60th St. ",41.7858445,-87.5928056
"432","1314 E. Hyde Park ",41.8026542,-87.5943025
"433","1315 E. 52nd St. ",41.8006999,-87.5943731
"434","1317 E. Madison Park",41.8028002,-87.5941123
"435","1319 E. Madison Park ",41.8028005,-87.5940844
"436","1320 E. 55th St. ",41.7951329,-87.5939167
"437","1320 E. 58th St. ",41.7898182,-87.5939101
"438","1320 E. 62nd St.",41.7825474,-87.593777
"439","1321 E. 56th St.  ",41.7931577,-87.5939101
"440","1321 E.56th St. ",41.7931577,-87.5939101
"441","1327 E. 57th St. ",41.7912716,-87.593775
"442","1327 E. 62nd St.",41.7821988,-87.5935668
"443","1328 E. 61st St.",41.7841816,-87.5928921
"444","1329 E. 53rd St.",41.7994817,-87.592853
"445","1330 E. 53rd St.",41.799659,-87.593935
"446","1330 W. 127th St.",NA,NA
"447","1332 E, 56th St.",41.7933958,-87.5935887
"448","1333 E. 57th St. ",41.7913056,-87.5935435
"449","1335 E. 51st St. ",41.8021135,-87.6044573
"450","1337 E. Madison Park ",41.8028037,-87.5938333
"451","1342 E. 55th St. ",41.7953176,-87.5932155
"452","1350 E. 49th St.",41.8062052,-87.5930804
"453","1351 E. 56th St.",41.792983,-87.592984
"454","1352 E 47th Pl.",41.8086327,-87.6053244
"455","1353 E. 54th St.",41.797853,-87.5929515
"456","1354 E. 50th St. ",41.804217,-87.5930423
"457","1355 E. 53rd St.",41.799484,-87.5925456
"458","1355 E. 55th St.",41.7951711,-87.5918184
"459","1355 E. 63rd St. ",41.7807699,-87.592259
"460","1362 E. 59th St.",41.7880278,-87.5939404
"461","1363 E. 56th St. ",41.7932998,-87.5924584
"462","1364 E. 58th St.",41.7899004,-87.5924969
"463","1365 E. Midway Pl.",41.7864747,-87.5989062
"464","1369 E. 53rd St. ",41.7993135,-87.5924102
"465","1370 E. 53rd St.",41.7996437,-87.5922737
"466","1370 E. 57th St. ",41.7914621,-87.5931757
"467","1370 E. 59th St. ",41.7878286,-87.5931105
"468","1375 E. 57th St.",41.7913526,-87.5920771
"469","1379 E. 53rd St. ",41.7992527,-87.5920246
"470","1380 E. 53rd St. ",41.7997371,-87.5919452
"471","1400 E. 47th St.",41.8102825,-87.5922122
"472","1400 E. 52nd St. ",41.8009658,-87.5917889
"473","1401 E. Hyde Park",41.8019635,-87.591672
"474","1401 E. Hyde Park ",41.8019635,-87.591672
"475","1402 E. 55th St.",41.7956411,-87.5915079
"476","1405 E. 53rd St.",41.7992327,-87.591377
"477","1407 E. 53rd St.",41.7992332,-87.5913272
"478","1407 E. 62nd Pl.",41.7812589,-87.5908854
"479","1408 E. 60th St. ",41.7860791,-87.5912211
"480","1411 E. 53rd St.",41.7992113,-87.5912271
"481","1413 E. 57th St. ",41.7913118,-87.5910545
"482","1414 E.59th St. ",41.7882484,-87.5909839
