"","Original address","Freq","Location.Address"
"742","53rd & Kenwood",1,"53rd and Kenwood"
"743","53rd at Lake Park",1,"53rd at Lake Park"
"744","53rd near Dorchester",1,"53rd and Dorchester"
"745","53rd St.",1,"53rd Street"
"746","5400 S. Blackstone ",1,"5400 South Blackstone "
"747","5400 S. Drexel",1,"5400 South Drivexel"
"748","5400 S. Ellis ",1,"5400 South Ellis "
"749","5400 S. Greenwood ",1,"5400 South Greenwood "
"750","5400 S. Harper",1,"5400 South Harper"
"751","5400 S. Hyde Park",1,"5400 South Hyde Park"
"752","5400 S. Hyde Park ",1,"5400 South Hyde Park "
"753","5400 S. Kenwood ",1,"5400 South Kenwood "
"754","5400 S. Kimbark ",1,"5400 South Kimbark "
"755","5400 S. Maryland",1,"5400 South Maryland"
"756","5400 S. Maryland ",1,"5400 South Maryland "
"757","5400 S. Ridgewood Ct. ",1,"5400 South Ridgewood Ct. "
"758","5401 S. Cornell",1,"5401 South Cornell"
"759","5401 S. Cottage Grove",1,"5401 South Cottage Grove"
"760","5401 S. Shore Dr. ",1,"5401 South Shore Drive "
"761","5402 S. Drexel ",1,"5402 South Drivexel "
"762","5402 S. Ellis ",1,"5402 South Ellis "
"763","5405 S. Drexel",1,"5405 South Drivexel"
"764","5405 S. Kimbark ",1,"5405 South Kimbark "
"765","5405 S. Woodlawn ",1,"5405 South Woodlawn "
"766","5410 S. University ",1,"5410 South University "
"767","5411 S. Woodlawn",1,"5411 South Woodlawn"
"768","5413 S. Kimbark ",1,"5413 South Kimbark "
"769","5414 S. Greenwood ",1,"5414 South Greenwood "
"770","5414 S. Ridgewood ",1,"5414 South Ridgewood "
"771","5414 S. Ridgewood Ct. ",1,"5414 South Ridgewood Ct. "
"772","5415 S. Harper ",1,"5415 South Harper "
"773","5415 S. University ",1,"5415 South University "
"774","5416 S. Cornell",1,"5416 South Cornell"
"775","5416 S. Cornell ",1,"5416 South Cornell "
"776","5416 S. Ellis",1,"5416 South Ellis"
"777","5417 S. Blackstone",1,"5417 South Blackstone"
"778","5417 S. University ",1,"5417 South University "
"779","5418 S. Cornell",1,"5418 South Cornell"
"780","5418 S. Ridgewood Court ",1,"5418 South Ridgewood Court "
"781","5422 S. Ellis",1,"5422 South Ellis"
"782","5422 S. Ingleside",1,"5422 South Ingleside"
"783","5422 S. Lake Park ",1,"5422 South Lake Park "
"784","5423 S. Kenwood ",1,"5423 South Kenwood "
"785","5424 S. Kimbark ",1,"5424 South Kimbark "
"786","5425 S. Harper",1,"5425 South Harper"
"787","5427 S. Greenwood ",1,"5427 South Greenwood "
"788","5428 S. Kimbark ",1,"5428 South Kimbark "
