,Incident,Location,Occured,Disposition,Notes,temp_inc
524,disturbance,illinois institute of technology : mies campus : mccormick student village ,11/5/2015 11:15,NA,iitpsd responded to mccormick student village for a report of a disturbance.,DISTURBANCE
525,larceny/theft : from motor vehicle,illinois institute of technology : off campus location,11/5/2015 11:35,NA,iitpsd took a report for a theft from motor vehicle that occurred off campus near 33rd st. and indiana ave. the chicago police department was notified.,THEFT
526,disturbance,illinois institute of technology : mies campus : farr hall ,11/5/2015 10:20,NA,iitpsd took a report of a disturbance involving iit students at an off campus location.   thank you,DISTURBANCE
527,damage to property,illinois institute of technology : mies campus : street locations : 33rd street ,10/30/2015 8:35,NA,iitpsd observed a member of general public vandalizing iit property. offender was issued a bar notice and turned over to the chicago police department.,DAMAGE TO PROPERTY
528,drug/narcotic offense,illinois institute of technology : mies campus :: state street village ,10/30/2015 10:57,NA,iitpsd responded to ssv south for a narcotics offense.,NARCOTICS
529,injured/sick person,illinois institute of technology : mies campus : 34th street,10/31/2015 12:05,NA,iitpsd conducted a non-emergency transport of an iit student to mercy hospital.,MEDICAL INCIDENT
530,utility incident : electricity,illinois institute of technology : mies campus,10/31/2015 7:40,NA,iitpsd responded to all buildings and campus areas after a power bump. iitpsd secured all buildings and re-armed all alarms.,UTILITY INCIDENT
531,weapon law violation,illinois institute of technology : mies campus : 33rd street,11/1/2015 3:25,NA,iitpsd responded after hearing shots fired at what later was determined to be the area of 33rd and michigan.,WEAPON
532,injured/sick person : report only,illinois institute of technology : mies campus: state street village ,11/1/2015 3:37,NA,iitpsd responded to ssv middle for a sick student.,MEDICAL INCIDENT
533,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus: soccer field ,11/1/2015 1:45,NA,iitpsd provided a non-emergency medical transport to mercy hospital for a student.,MEDICAL INCIDENT
534,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus: soccer field ,11/1/2015 2:20,NA,iitpsd provided a non-emergency medical transport to mercy hospital for a student.   thank you,MEDICAL INCIDENT
535,alarm: fire,illinois institute of technology: moffett campus – 6502 s archer,12/30/2015 11:20,NA,fire alarm activation at moffett campus. no smoke or flames.   thank you,ALARM
536,harassment : phone,illinois institute of technology : mies campus : gunsaulus hall ,12/29/2015 4:20,NA,iitpsd responded to gunsaulus hall for a delayed harassment report.   thank you,DISTURBANCE
537,accident : non-motor vehicle,illinois institute of technology- tower,12/28/2015 3:24,NA,iitpsd responded to a slip and fall incident involving a member of the general public that occurred to the tower lobby.   thank you,MEDICAL INCIDENT
538,alarm : smoke,illinois institute of technology : mies campus : engineering research ,12/25/2015 1:10,NA,iitpsd responded to erb for an activated smoke alarm. no smoke or fire detected.,ALARM
539,alarm : smoke,illinois institute of technology : mies campus: mccormick student village ,12/25/2015 6:55,NA,iitpsd responded to msv for a activated smoke alarm. there was no fire. smoke emitted from cooked food.,ALARM
540,suspicious activity,illinois institute of technology : mies campus : cta : green line – 34th,12/26/2015 8:30,NA,iitpsd responded to 34th and the green line for suspicious activity involving members of the general public.,SUSPICION
541,accident : motor vehicle,illinois institute of technology : mies campus : 31st street ,12/27/2015 5:40,NA,cpd contacted for a minor motor vehicle accident involving an iitpsd vehicle.,ACCIDENT
542,alarm : smoke,illinois institute of technology : mies campus: mccormick student village ,12/27/2015 6:40,NA,iitpsd responded to msv for an activated smoke alarm. it was later found to be caused by burnt food. no flame.   thank you,ALARM
543,suspicious person,illinois institute of technology: mies campus: academic/administrative buildings: technology park – 3340 s dearborn,12/23/2015 1:30,NA,iitpsd responded to the erb incubator south mens rest room for a suspicious person.,SUSPICION
544,alarm: fire,illinois institute of technology: mies campus: residential buildings: mccormick student village – 3241 s wabash,12/23/2015 9:56,NA,iitpsd took a report for false fire alarm activation at mccormick student village due to the building not being taken offline before scheduled fire system testing began.   thank you,ALARM
545,disturbance,illinois institute of technology: 30th street ,12/22/2015 5:10,NA,iitpsd responded to 30th/state st. for a disturbance involving an iit staff member.   thank you,DISTURBANCE
546,larceny/theft : other,illinois institute of technology : keating sports center ,12/21/2015 6:50,NA,iitpsd responded to mccormick student village for a report of a theft that occurred at keating gym.   thank you,THEFT
547,trespassing: bar notice,illinois institute of technology: mies campus: academic/administrative buildings: perlstein hall – 10 w 33rd,12/16/2015 2:00,NA,iitpsd responded to a general public member trespassing in several iit buildings. the general public member was detained and issued an official bar notice.   thank you,TRESPASS
548,disturbance,illinois institute of technology : mies campus: state street village,12/14/2015 8:40,NA,iitpsd responded to ssv north for a disturbance involving iit students.   thank you,DISTURBANCE
549,damage to property,illinois institute of technology : mies campus : mccormick student village ,12/11/2015 10:30,NA,iitpsd responded to msv for a damage to property report.,DAMAGE TO PROPERTY
550,liquor law violation,illinois institute of technology : mies campus: fraternity/sorority,12/11/2015 7:27,NA,iitpsd responded to fraternity house for a liquor law violation.,LIQUOR LAW VIOLATION
