,Incident,Location,Occured,Disposition,Notes,temp_inc
163,suspicious person,illinois institute of technology : main campus :: 32nd street: -wabash to michigan,4/17/2015 2:20,NA,"iitpsd responded to carmen hall., for a report of an iit student acting suspicious near 32nd st. and wabash",SUSPICION
164,larceny/theft : from motor vehicle,illinois institute of technology : main campus : a4 lot ,4/18/2015 10:30,NA,a member of the general public reported his tire was stolen from his vehicle in the a4 parking lot.   thank you,THEFT
165,injured/sick person : non-emergency medical transport/ student,illinois institute of technology : main campus : galvin library ,4/16/2015 9:26,NA,iitpsd responded to galvin library for a report of an injured student.   thank you,MEDICAL INCIDENT
166,utility incident : water,illinois institute of technology : kent campus ,4/15/2015 5:31,NA,a blocked drain in the kitchen caused a water leak at kent college of law,UTILITY INCIDENT
167,administrative information,illinois institute of technology : main campus : hermann hall ,4/15/2015 9:30,NA,iitpsd responded to hermann hall for an incident that involved falling debris.   thank you,OTHER
168,administrative information,illinois institute of technology,4/13/2015 10:23,NA,iitpsd responded to farr hall for a damage to motor vehicle report.,DAMAGE TO PROPERTY
169,injured/sick person,illinois institute of technology,4/13/2015 12:30,NA,iitpsd made a non emergency medical transport to mercy hospital for a iit student.   thank you,MEDICAL INCIDENT
170,trespassing : bar notice,illinois institute of technology : main campus:technology park ,4/10/2015 7:00,NA,iitpsd responded to the erb for a suspicious person.,SUSPICION
171,alarm : fire,illinois institute of technology : main campus : mccormick student village ,4/11/2015 10:54,NA,iitpsd responded to a fire alarm at msv- lewis hall where burnt food was located on a stove.,ALARM
172,trespassing : bar notice,illinois institute of technology : main campus : mccormick tribune campus center ,4/11/2015 11:42,NA,iitpsd located a suspicious person in the mtcc.,SUSPICION
173,injured/sick person : non-emergency medical transport,illinois institute of technology : main campus : keating sports center ,4/12/2015 3:21,NA,iitpsd responded to keating gym for a non-emergency transport of an iit student.,MEDICAL INCIDENT
174,injured/sick person : non-emergency medical transport,illinois institute of technology : main campus: mccormick student village ,4/12/2015 5:20,NA,iitpsd responded to msv for a non-emergency medical transport of an iit student.   thank you,MEDICAL INCIDENT
175,motor vehicle theft : autos,illinois institute of technology : main campus : a4 lot ,4/9/2015 1:05,NA,"iitpsd responded to life sciences, 3105 s. dearborn, for a report of motor vehicle theft occurring in the a4 parking lot.   thank you",THEFT
176,injured/sick person : non-emergency medical transport,illinois institute of technology : main campus : mccormick student village ,4/8/2015 11:00,NA,iitpsd responded to mccormick student village of a non-emergency medical transport.,MEDICAL INCIDENT
177,injured/sick person : non-emergency medical transport,illinois institute of technology : main campus : tower ,4/8/2015 1:00,NA,iitpsd provided a non-emergency medical transport to mercy hospital of an iit student.,MEDICAL INCIDENT
178,assault-simple : hands/fists/feet,illinois institute of technology : main campus : 31st street : east ,4/8/2015 4:00,NA,iitpsd responded to a delayed domestic violence report involving an iit student.   thank you,BATTERY
179,injured/sick person : non-emergency medical transport,illinois institute of technology : main campus:engineering 1 ,4/7/2015 8:30,NA,iitpsd responded to e-1 for a non emergency medical transport.,MEDICAL INCIDENT
180,injured/sick person : report only : general public/visitor,illinois institute of technology : main campus : hermann union building ,4/7/2015 9:15,NA,iitpsd responded to herman hall for a guest student of vandercook who had fainted.,MEDICAL INCIDENT
181,damage to property,illinois institute of technology : kent campus ,4/7/2015 4:00,NA,multiple vehicles damaged on jefferson street between quincy and adams at kent college of law.   thank you,DAMAGE TO PROPERTY
182,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus: tower ,4/6/2015 1:59,NA,iitpsd responded to the iit tower for non-emergency medical transport,MEDICAL INCIDENT
183,injured/sick person : emergency medical transport/ambulance : general public/visitor,illinois institute of technology : main campus: bailey hall ,4/6/2015 7:32,NA,iitpsd responded to the rear of bailey hall for an emergency medical transport involving a member of the general public.   thank you,MEDICAL INCIDENT
184,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus : fraternity/sorority,4/3/2015 1:50,NA,iitpsd responded  for a non-emergency medical transport.,MEDICAL INCIDENT
185,utility incident : electricity,illinois institute of technology : kent campus ,4/3/2015 7:38,NA,electrical power surge at kent college of law.,UTILITY INCIDENT
186,injured/sick person : non-emergency medical transport : student,illinois institute of technology : main campus: keating sports center ,4/5/2015 3:50,NA,iitpsd responded at keating gym for a non-emergency medical transport.,MEDICAL INCIDENT
187,accident : motor vehicle,illinois institute of technology : street locations : 31st street,4/5/2015 7:55,NA,iitpsd responded to an iit student who was struck by a car.   thank you,ACCIDENT
188,utility incident : electricity,illinois institute of technology : main campus,4/2/2015 4:45,NA,iitpsd responded to a campus wide power outage. power was restored to most of campus at approximately 5:50 am and completely restored campus wide at approximately 7:05 am.,UTILITY INCIDENT
189,alarm : fire,illinois institute of technology : main campus : siegel hall ,4/2/2015 5:55,NA,"iitpsd responded to siegel hall, for a report of a fire alarm. chicago fire department determined it to be a false alarm due to the power being restored to the building.",ALARM
190,alarm : fire,illinois institute of technology : main campus :: mccormick student village ,4/2/2015 6:15,NA,"iitpsd responded to mccormick student village, for a report of a fire alarm. the chicago fire department determined no fire occurred but a generator in the basement caused enough smoke to trigger the alarm.",ALARM
191,injured/sick person : non-emergency medical transport,illinois institute of technology : main campus : tower ,4/2/2015 1:00,NA,iitpsd provided non-emergency escort to mercy hospital.   thank you,MEDICAL INCIDENT
192,utility incident : water,illinois institute of technology : main campus : hermann hall ,5/26/2015 8:15,NA,"iitpsd responded to hermann hall, for a report of water leaks and water damage in an office suite.   thank you",UTILITY INCIDENT
193,utility incident : water,illinois institute of technology : main campus : engineering research ,5/22/2015 6:10,NA,iitpsd responded to erb for a report of a water leak.,UTILITY INCIDENT
194,alarm : smoke,illinois institute of technology : main campus : life science research ,5/22/2015 9:10,NA,iitpsd responded to lsr for an activated fire alarm. no smoke or fire was detected.,ALARM
195,suspicious activity,illinois institute of technology : main campus: cta : green line – 34th,5/24/2015 9:23,NA,iitpsd responded to 34th and the green line for suspicious activity by a member of the general public.,SUSPICION
196,alarm,illinois institute of technology : main campus: mccormick student village ,5/25/2015 2:18,NA,iitpsd responded to msv for a fire alarm activated by smoke from burnt food.,ALARM
197,utility incident : water,illinois institute of technology : main campus: mccormick student village ,5/25/2015 4:20,NA,iitpsd responded to msv basement fowler hall for a water leak.   thank you,UTILITY INCIDENT
198,administrative information,illinois institute of technology,5/21/2015 12:55,NA,iitspd took a theft report of an off campus theft involving an employee of the tower.,THEFT
199,damage to property,illinois institute of technology: general parking locations : d1 lot ,5/21/2015 1:30,NA,iitpsd responded to farr hall for a delayed report of damage to property occurring in the d1 parking lot to a vehicle belonging to an iit student.,DAMAGE TO PROPERTY
200,hazmat,illinois institute of technology : main campus: engineering 1 ,5/21/2015 1:50,NA,"iitpsd responded to engineering  for a report of a chemical fire in a lab. chicago police, fire, and hazmat departments were contacted. no injuries occurred.   thank you",ALARM
201,alarm : security,illinois institute of technology : kent campus ,5/20/2015 5:48,NA,iit public safety security desk notified of a pnc atm security alarm at kent college of law.,ALARM
202,suspicious person,illinois institute of technology : main campus : alumni hall ,5/20/2015 7:10,NA,iitpsd responded to alumni hall for a suspicious person/activity report.   thank you,SUSPICION
203,battery-aggravated : hand/fists/feet w/aggravated injury,illinois institute of technology : off campus location,5/18/2015 5:45,NA,iitpsd took a delayed report of a attempted robbery/aggravated battery of an iit student resulting in aggravated injuries at an off campus location.,ROBBERY
204,robbery : attempted,illinois institute of technology : off campus location,5/18/2015 5:45,NA,iitpsd took a delayed report of a attempted robbery/aggravated battery of an iit student resulting in aggravated injuries at an off campus location.,ROBBERY
